,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,828.0,1104.0,828.0,828.0,828.0,80.0,828.0,747.0,828.0,979.0,828.0,552.0,828.0,136.0,828.0,1932.0,828.0,828.0,828.0,1780.0,828.0,1335.0,828.0,136.0,828.0,136.0,828.0,136.0,828.0,184.0,828.0,2024.0,828.0,2300.0,828.0,92.0,828.0,1564.0,828.0,80.0,828.0,80.0,828.0,2300.0,828.0,445.0,828.0,1380.0,828.0,0.0,828.0,828.0,828.0,1780.0,828.0,1840.0,828.0,920.0,828.0,664.0
1,828.0,1104.0,828.0,920.0,828.0,80.0,828.0,747.0,828.0,979.0,828.0,460.0,828.0,136.0,828.0,1932.0,828.0,828.0,828.0,1780.0,828.0,1780.0,828.0,136.0,828.0,136.0,828.0,184.0,828.0,184.0,828.0,2024.0,828.0,2300.0,828.0,0.0,828.0,1564.0,828.0,720.0,828.0,80.0,828.0,0.0,828.0,0.0,828.0,1380.0,828.0,0.0,828.0,828.0,828.0,1780.0,828.0,1840.0,828.0,1104.0,828.0,368.0
2,828.0,1104.0,828.0,828.0,828.0,80.0,828.0,747.0,828.0,979.0,828.0,552.0,828.0,136.0,828.0,1932.0,828.0,828.0,828.0,1780.0,828.0,1780.0,828.0,136.0,828.0,136.0,828.0,644.0,828.0,184.0,828.0,2024.0,828.0,2300.0,828.0,1472.0,828.0,1564.0,828.0,80.0,828.0,920.0,828.0,2300.0,828.0,0.0,828.0,1380.0,828.0,0.0,828.0,828.0,828.0,0.0,828.0,1840.0,828.0,1104.0,828.0,664.0
3,828.0,1104.0,828.0,828.0,828.0,80.0,828.0,747.0,828.0,979.0,828.0,552.0,828.0,136.0,828.0,1932.0,828.0,828.0,828.0,1780.0,828.0,1780.0,828.0,136.0,828.0,136.0,828.0,136.0,828.0,184.0,828.0,2024.0,828.0,2300.0,828.0,1196.0,828.0,1564.0,828.0,80.0,828.0,80.0,828.0,1932.0,828.0,0.0,828.0,1380.0,828.0,0.0,828.0,828.0,828.0,1780.0,828.0,1840.0,828.0,1012.0,828.0,534.0
4,828.0,1104.0,828.0,828.0,828.0,80.0,828.0,747.0,828.0,979.0,828.0,552.0,828.0,136.0,828.0,1932.0,828.0,828.0,828.0,0.0,828.0,1780.0,828.0,136.0,828.0,136.0,828.0,136.0,828.0,184.0,828.0,2024.0,828.0,2300.0,828.0,92.0,828.0,1564.0,828.0,80.0,828.0,80.0,828.0,2300.0,828.0,736.0,828.0,1380.0,828.0,0.0,828.0,828.0,828.0,1869.0,828.0,1840.0,828.0,1104.0,828.0,747.0
5,828.0,1104.0,828.0,828.0,828.0,80.0,828.0,747.0,828.0,979.0,828.0,552.0,828.0,136.0,828.0,1932.0,828.0,828.0,828.0,1780.0,828.0,1780.0,828.0,0.0,828.0,480.0,828.0,136.0,828.0,184.0,828.0,2024.0,828.0,2300.0,828.0,92.0,828.0,1564.0,828.0,80.0,828.0,80.0,828.0,2300.0,828.0,0.0,828.0,0.0,828.0,0.0,828.0,828.0,828.0,1780.0,828.0,1840.0,828.0,0.0,828.0,747.0
6,828.0,1104.0,828.0,828.0,828.0,80.0,828.0,747.0,828.0,979.0,828.0,552.0,828.0,136.0,828.0,1932.0,828.0,828.0,828.0,1780.0,828.0,1780.0,828.0,136.0,828.0,0.0,828.0,136.0,828.0,184.0,828.0,2024.0,828.0,2300.0,828.0,92.0,828.0,1564.0,828.0,80.0,828.0,80.0,828.0,0.0,828.0,50.0,828.0,1196.0,828.0,1656.0,828.0,828.0,828.0,1780.0,828.0,1656.0,828.0,1104.0,828.0,166.0
7,828.0,1104.0,828.0,828.0,828.0,80.0,828.0,747.0,828.0,979.0,828.0,552.0,828.0,136.0,828.0,1932.0,828.0,828.0,828.0,1780.0,828.0,1780.0,828.0,136.0,828.0,136.0,828.0,136.0,828.0,184.0,828.0,2024.0,828.0,2300.0,828.0,92.0,828.0,592.0,828.0,80.0,828.0,0.0,828.0,920.0,828.0,460.0,828.0,1380.0,828.0,0.0,828.0,828.0,828.0,1780.0,828.0,276.0,828.0,1104.0,828.0,166.0
8,828.0,1104.0,828.0,828.0,828.0,178.0,828.0,828.0,828.0,623.0,828.0,552.0,828.0,552.0,828.0,1932.0,828.0,828.0,828.0,1780.0,828.0,1780.0,828.0,136.0,828.0,136.0,828.0,136.0,828.0,184.0,828.0,2024.0,828.0,0.0,828.0,92.0,828.0,1564.0,828.0,80.0,828.0,80.0,828.0,0.0,828.0,92.0,828.0,1380.0,828.0,184.0,828.0,828.0,828.0,356.0,828.0,1840.0,828.0,1104.0,828.0,166.0
9,828.0,1104.0,828.0,828.0,828.0,178.0,828.0,828.0,828.0,623.0,828.0,552.0,828.0,552.0,828.0,1932.0,828.0,828.0,828.0,1780.0,828.0,1780.0,828.0,136.0,828.0,136.0,828.0,0.0,828.0,184.0,828.0,920.0,828.0,92.0,828.0,184.0,828.0,0.0,828.0,80.0,828.0,80.0,828.0,0.0,828.0,828.0,828.0,1380.0,828.0,0.0,828.0,178.0,828.0,1958.0,828.0,1840.0,828.0,1104.0,828.0,166.0
