,0,1,2,3,4,5
1995,0.0,0.0,0.0,12.0,0.0,
1996,0.0,20.0,0.0,12.0,0.0,
1997,0.0,0.0,0.0,0.0,0.0,
1998,0.0,20.0,0.0,12.0,0.0,
1999,0.0,16.0,0.0,12.0,0.0,
2000,0.0,20.0,0.0,0.0,0.0,
2001,0.0,0.0,0.0,12.0,0.0,
2002,0.0,20.0,0.0,12.0,0.0,
2003,0.0,0.0,0.0,0.0,0.0,
2004,0.0,0.0,0.0,12.0,0.0,
2005,0.0,20.0,0.0,12.0,0.0,
2006,0.0,20.0,0.0,12.0,0.0,
2007,0.0,20.0,0.0,0.0,0.0,
2008,0.0,0.0,0.0,12.0,0.0,
2009,63.0,20.0,63.0,12.0,63.0,
2010,0.0,20.0,0.0,12.0,0.0,
2011,0.0,0.0,0.0,0.0,0.0,
2012,0.0,20.0,0.0,12.0,0.0,
2013,0.0,20.0,0.0,12.0,0.0,
2014,0.0,0.0,0.0,12.0,0.0,
2015,0.0,0.0,0.0,12.0,0.0,
2016,0.0,0.0,0.0,0.0,0.0,
2017,0.0,20.0,0.0,12.0,0.0,
2018,0.0,16.0,0.0,12.0,0.0,
2019,0.0,20.0,0.0,12.0,0.0,
2020,0.0,0.0,0.0,12.0,0.0,
2021,0.0,20.0,0.0,12.0,0.0,
2022,0.0,20.0,0.0,12.0,0.0,
2023,0.0,20.0,0.0,12.0,0.0,
2024,0.0,0.0,0.0,12.0,0.0,
2025,0.0,12.0,0.0,4.0,0.0,
2026,0.0,12.0,0.0,12.0,0.0,
2027,0.0,12.0,0.0,12.0,0.0,
2028,0.0,12.0,0.0,0.0,0.0,
2029,0.0,12.0,0.0,12.0,0.0,
2030,0.0,12.0,0.0,12.0,0.0,
2031,0.0,12.0,0.0,12.0,0.0,
2032,0.0,12.0,0.0,19.0,0.0,
2033,0.0,12.0,0.0,12.0,0.0,
2034,0.0,12.0,0.0,0.0,0.0,
2035,0.0,0.0,0.0,0.0,0.0,
2036,0.0,12.0,0.0,12.0,0.0,
2037,0.0,0.0,0.0,12.0,0.0,
2038,0.0,12.0,0.0,12.0,0.0,
2039,0.0,12.0,0.0,12.0,0.0,
2040,0.0,4.0,0.0,12.0,0.0,
2041,0.0,12.0,0.0,12.0,0.0,
2042,0.0,0.0,0.0,12.0,0.0,
2043,0.0,12.0,0.0,12.0,0.0,
2044,0.0,12.0,0.0,8.0,0.0,
2045,0.0,12.0,0.0,0.0,0.0,
2046,0.0,0.0,0.0,12.0,0.0,
2047,0.0,12.0,0.0,12.0,0.0,
2048,0.0,12.0,0.0,0.0,0.0,
2049,0.0,12.0,0.0,12.0,0.0,
2050,0.0,0.0,0.0,12.0,0.0,
2051,0.0,12.0,0.0,12.0,0.0,
2052,0.0,12.0,0.0,12.0,0.0,
2053,0.0,0.0,0.0,12.0,0.0,
2054,0.0,12.0,0.0,12.0,0.0,
2055,0.0,0.0,0.0,12.0,0.0,
2056,0.0,12.0,0.0,12.0,0.0,
2057,0.0,12.0,0.0,12.0,0.0,
2058,0.0,12.0,0.0,12.0,0.0,
2059,0.0,12.0,0.0,12.0,0.0,
2060,0.0,12.0,0.0,0.0,0.0,
2061,0.0,4.0,0.0,12.0,0.0,
2062,0.0,0.0,0.0,12.0,0.0,
2063,0.0,12.0,0.0,0.0,0.0,
2064,0.0,0.0,0.0,12.0,0.0,
2065,0.0,12.0,0.0,12.0,0.0,
2066,0.0,0.0,0.0,0.0,0.0,
2067,0.0,12.0,0.0,12.0,0.0,
2068,8.0,8.0,8.0,12.0,8.0,
2069,0.0,12.0,0.0,0.0,0.0,
2070,0.0,12.0,0.0,12.0,0.0,
2071,0.0,0.0,0.0,12.0,0.0,
2072,0.0,12.0,0.0,0.0,0.0,
2073,0.0,12.0,0.0,12.0,0.0,
2074,0.0,12.0,0.0,12.0,0.0,
2075,0.0,12.0,0.0,12.0,0.0,
2076,0.0,8.0,0.0,12.0,0.0,
2077,0.0,12.0,0.0,12.0,0.0,
2078,0.0,12.0,0.0,0.0,0.0,
2079,0.0,12.0,0.0,48.0,0.0,
2080,0.0,12.0,0.0,48.0,0.0,
2081,0.0,8.0,0.0,0.0,0.0,
2082,0.0,12.0,0.0,48.0,0.0,
2083,0.0,12.0,0.0,0.0,0.0,
2084,0.0,12.0,0.0,48.0,0.0,
2085,0.0,12.0,0.0,48.0,0.0,
2086,0.0,12.0,0.0,48.0,0.0,
2087,0.0,12.0,0.0,12.0,0.0,
2088,0.0,12.0,0.0,48.0,0.0,
2089,0.0,12.0,0.0,0.0,0.0,
2090,0.0,12.0,0.0,0.0,0.0,
2091,0.0,12.0,0.0,48.0,0.0,
2092,0.0,12.0,0.0,48.0,0.0,
2093,0.0,0.0,0.0,48.0,0.0,
2094,0.0,8.0,0.0,0.0,0.0,
2095,0.0,12.0,0.0,48.0,0.0,
2096,0.0,12.0,0.0,48.0,0.0,
2097,0.0,0.0,0.0,48.0,0.0,
2098,0.0,12.0,0.0,36.0,0.0,
2099,0.0,12.0,0.0,48.0,0.0,
2100,0.0,12.0,0.0,48.0,0.0,
2101,0.0,12.0,0.0,12.0,0.0,
2102,0.0,12.0,0.0,0.0,0.0,
2103,0.0,12.0,0.0,0.0,0.0,
2104,0.0,12.0,0.0,28.0,0.0,
2105,0.0,12.0,0.0,40.0,0.0,
2106,0.0,12.0,0.0,0.0,0.0,
2107,0.0,12.0,0.0,0.0,0.0,
2108,0.0,12.0,0.0,48.0,0.0,
2109,0.0,12.0,0.0,48.0,0.0,
2110,0.0,12.0,0.0,20.0,0.0,
2111,0.0,12.0,0.0,0.0,0.0,
2112,0.0,12.0,0.0,48.0,0.0,
2113,0.0,12.0,0.0,0.0,0.0,
2114,0.0,12.0,0.0,0.0,0.0,
2115,0.0,0.0,0.0,4.0,0.0,
2116,0.0,12.0,0.0,48.0,0.0,
2117,0.0,0.0,0.0,24.0,0.0,
2118,0.0,12.0,0.0,48.0,0.0,
2119,0.0,12.0,0.0,0.0,0.0,
2120,0.0,12.0,0.0,48.0,0.0,
2121,0.0,12.0,0.0,48.0,0.0,
2122,0.0,12.0,0.0,0.0,0.0,
2123,0.0,0.0,0.0,48.0,0.0,
2124,0.0,12.0,0.0,48.0,0.0,
2125,0.0,12.0,0.0,48.0,0.0,
2126,0.0,12.0,0.0,48.0,0.0,
2127,0.0,12.0,0.0,48.0,0.0,
2128,0.0,12.0,0.0,0.0,0.0,
2129,0.0,0.0,0.0,48.0,0.0,
2130,0.0,12.0,0.0,48.0,0.0,
2131,0.0,12.0,0.0,0.0,0.0,
2132,0.0,0.0,0.0,48.0,0.0,
2133,0.0,0.0,0.0,48.0,0.0,
2134,0.0,12.0,0.0,48.0,0.0,
2135,0.0,12.0,0.0,0.0,0.0,
2136,0.0,0.0,0.0,48.0,0.0,
2137,0.0,12.0,0.0,48.0,0.0,
2138,0.0,12.0,0.0,0.0,0.0,
2139,0.0,12.0,0.0,48.0,0.0,
2140,0.0,12.0,0.0,52.0,0.0,
2141,0.0,12.0,0.0,48.0,0.0,
2142,0.0,12.0,0.0,48.0,0.0,
2143,0.0,12.0,0.0,0.0,0.0,
2144,0.0,0.0,0.0,4.0,0.0,
2145,0.0,12.0,0.0,48.0,0.0,
2146,0.0,12.0,0.0,28.0,0.0,
2147,0.0,12.0,0.0,48.0,0.0,
2148,0.0,0.0,0.0,0.0,0.0,
2149,0.0,0.0,0.0,48.0,0.0,
2150,0.0,12.0,0.0,48.0,0.0,
2151,0.0,8.0,0.0,0.0,0.0,
2152,0.0,0.0,0.0,48.0,0.0,
2153,0.0,12.0,0.0,48.0,0.0,
2154,4.0,12.0,4.0,48.0,4.0,
2155,0.0,12.0,0.0,48.0,0.0,
2156,0.0,12.0,0.0,48.0,0.0,
2157,0.0,12.0,0.0,0.0,0.0,
2158,0.0,12.0,0.0,48.0,0.0,
2159,0.0,12.0,0.0,20.0,0.0,
2160,0.0,12.0,0.0,48.0,0.0,
2161,0.0,0.0,0.0,0.0,0.0,
2162,0.0,12.0,0.0,48.0,0.0,
2163,0.0,12.0,0.0,48.0,0.0,
2164,0.0,12.0,0.0,48.0,0.0,
2165,0.0,12.0,0.0,0.0,0.0,
2166,0.0,12.0,0.0,48.0,0.0,
2167,0.0,0.0,0.0,48.0,0.0,
2168,4.0,4.0,4.0,48.0,4.0,
2169,0.0,12.0,0.0,0.0,0.0,
2170,0.0,12.0,0.0,48.0,0.0,
2171,0.0,12.0,0.0,0.0,0.0,
2172,4.0,12.0,4.0,0.0,4.0,
2173,0.0,12.0,0.0,0.0,0.0,
2174,0.0,12.0,0.0,48.0,0.0,
2175,0.0,0.0,0.0,20.0,0.0,
2176,4.0,12.0,4.0,40.0,4.0,
2177,0.0,12.0,0.0,48.0,0.0,
2178,0.0,12.0,0.0,0.0,0.0,
2179,0.0,12.0,0.0,48.0,0.0,
2180,0.0,0.0,0.0,48.0,0.0,
2181,0.0,12.0,0.0,0.0,0.0,
2182,0.0,12.0,0.0,48.0,0.0,
2183,0.0,0.0,0.0,48.0,0.0,
2184,4.0,12.0,4.0,0.0,4.0,
2185,0.0,12.0,0.0,48.0,0.0,
2186,0.0,0.0,0.0,48.0,0.0,
2187,0.0,12.0,0.0,48.0,0.0,
2188,0.0,12.0,0.0,48.0,0.0,
2189,0.0,12.0,0.0,48.0,0.0,
2190,0.0,0.0,0.0,48.0,0.0,
2191,0.0,12.0,0.0,48.0,0.0,
2192,0.0,12.0,0.0,48.0,0.0,
2193,0.0,12.0,0.0,48.0,0.0,
2194,0.0,0.0,0.0,48.0,0.0,
2195,0.0,12.0,0.0,0.0,0.0,
2196,0.0,12.0,0.0,48.0,0.0,
2197,0.0,12.0,0.0,48.0,0.0,
2198,0.0,12.0,0.0,20.0,0.0,
2199,0.0,0.0,0.0,48.0,0.0,
2200,0.0,12.0,0.0,48.0,0.0,
2201,0.0,12.0,0.0,48.0,0.0,
2202,0.0,12.0,0.0,48.0,0.0,
2203,0.0,12.0,0.0,0.0,0.0,
2204,0.0,12.0,0.0,20.0,0.0,
2205,0.0,12.0,0.0,48.0,0.0,
2206,0.0,12.0,0.0,48.0,0.0,
2207,0.0,12.0,0.0,48.0,0.0,
2208,0.0,4.0,0.0,0.0,0.0,
2209,0.0,12.0,0.0,48.0,0.0,
2210,0.0,12.0,0.0,48.0,0.0,
2211,0.0,0.0,0.0,48.0,0.0,
2212,0.0,12.0,0.0,48.0,0.0,
2213,0.0,12.0,0.0,0.0,0.0,
2214,0.0,12.0,0.0,48.0,0.0,
2215,0.0,19.0,0.0,48.0,0.0,
2216,0.0,12.0,0.0,48.0,0.0,
2217,0.0,0.0,0.0,48.0,0.0,
2218,0.0,0.0,0.0,48.0,0.0,
2219,4.0,12.0,4.0,48.0,4.0,
2220,0.0,12.0,0.0,48.0,0.0,
2221,0.0,12.0,0.0,48.0,0.0,
2222,0.0,12.0,0.0,59.0,0.0,
2223,0.0,12.0,0.0,48.0,0.0,
2224,0.0,12.0,0.0,48.0,0.0,
2225,0.0,12.0,0.0,48.0,0.0,
2226,0.0,12.0,0.0,48.0,0.0,
2227,0.0,8.0,0.0,48.0,0.0,
2228,0.0,0.0,0.0,32.0,0.0,
2229,0.0,12.0,0.0,48.0,0.0,
2230,0.0,12.0,0.0,0.0,0.0,
2231,0.0,0.0,0.0,48.0,0.0,
2232,0.0,12.0,0.0,0.0,0.0,
2233,0.0,12.0,0.0,0.0,0.0,
2234,0.0,12.0,0.0,0.0,0.0,
2235,0.0,12.0,0.0,40.0,0.0,
2236,0.0,12.0,0.0,48.0,0.0,
2237,0.0,12.0,0.0,48.0,0.0,
2238,4.0,12.0,4.0,48.0,4.0,
2239,0.0,12.0,0.0,48.0,0.0,
2240,0.0,12.0,0.0,0.0,0.0,
2241,0.0,12.0,0.0,24.0,0.0,
2242,0.0,12.0,0.0,24.0,0.0,
2243,0.0,0.0,0.0,36.0,0.0,
2244,0.0,12.0,0.0,0.0,0.0,
2245,0.0,12.0,0.0,48.0,0.0,
2246,0.0,0.0,0.0,20.0,0.0,
2247,0.0,12.0,0.0,24.0,0.0,
2248,0.0,12.0,0.0,48.0,0.0,
2249,0.0,0.0,0.0,48.0,0.0,
2250,0.0,12.0,0.0,0.0,0.0,
2251,0.0,12.0,0.0,48.0,0.0,
2252,0.0,0.0,0.0,48.0,0.0,
2253,0.0,12.0,0.0,16.0,0.0,
2254,0.0,12.0,0.0,48.0,0.0,
2255,0.0,0.0,0.0,0.0,0.0,
2256,0.0,12.0,0.0,48.0,0.0,
2257,0.0,12.0,0.0,48.0,0.0,
2258,0.0,12.0,0.0,48.0,0.0,
2259,0.0,12.0,0.0,63.0,0.0,
2260,0.0,12.0,0.0,48.0,0.0,
2261,0.0,0.0,0.0,48.0,0.0,
2262,0.0,48.0,0.0,48.0,0.0,
2263,8.0,48.0,8.0,48.0,8.0,
2264,0.0,0.0,0.0,48.0,0.0,
2265,0.0,48.0,0.0,0.0,0.0,
2266,4.0,0.0,4.0,48.0,4.0,
2267,4.0,48.0,4.0,48.0,4.0,
2268,0.0,48.0,0.0,48.0,0.0,
2269,0.0,48.0,0.0,0.0,0.0,
2270,0.0,12.0,0.0,48.0,0.0,
2271,0.0,48.0,0.0,48.0,0.0,
2272,0.0,0.0,0.0,0.0,0.0,
2273,0.0,0.0,0.0,48.0,0.0,
2274,0.0,48.0,0.0,0.0,0.0,
2275,0.0,48.0,0.0,48.0,0.0,
2276,0.0,48.0,0.0,12.0,0.0,
2277,0.0,0.0,0.0,36.0,0.0,
2278,0.0,48.0,0.0,48.0,0.0,
2279,0.0,48.0,0.0,48.0,0.0,
2280,0.0,48.0,0.0,40.0,0.0,
2281,0.0,36.0,0.0,48.0,0.0,
2282,4.0,48.0,4.0,20.0,4.0,
2283,0.0,48.0,0.0,0.0,0.0,
2284,0.0,12.0,0.0,48.0,0.0,
2285,0.0,0.0,0.0,48.0,0.0,
2286,4.0,0.0,4.0,48.0,4.0,
2287,0.0,28.0,0.0,48.0,0.0,
2288,0.0,40.0,0.0,48.0,0.0,
2289,0.0,0.0,0.0,0.0,0.0,
2290,0.0,0.0,0.0,0.0,0.0,
2291,0.0,48.0,0.0,48.0,0.0,
2292,0.0,48.0,0.0,48.0,0.0,
2293,0.0,20.0,0.0,48.0,0.0,
2294,0.0,0.0,0.0,48.0,0.0,
2295,0.0,48.0,0.0,48.0,0.0,
2296,4.0,0.0,4.0,8.0,4.0,
2297,0.0,0.0,0.0,20.0,0.0,
2298,0.0,4.0,0.0,48.0,0.0,
2299,0.0,48.0,0.0,48.0,0.0,
2300,0.0,24.0,0.0,48.0,0.0,
2301,0.0,48.0,0.0,48.0,0.0,
2302,0.0,0.0,0.0,48.0,0.0,
2303,0.0,48.0,0.0,48.0,0.0,
2304,0.0,48.0,0.0,0.0,0.0,
2305,0.0,0.0,0.0,48.0,0.0,
2306,0.0,48.0,0.0,48.0,0.0,
2307,0.0,48.0,0.0,0.0,0.0,
2308,0.0,48.0,0.0,48.0,0.0,
2309,0.0,48.0,0.0,48.0,0.0,
2310,0.0,48.0,0.0,48.0,0.0,
2311,0.0,0.0,0.0,0.0,0.0,
2312,4.0,48.0,4.0,20.0,4.0,
2313,0.0,48.0,0.0,20.0,0.0,
2314,0.0,0.0,0.0,4.0,0.0,
2315,0.0,48.0,0.0,0.0,0.0,
2316,0.0,48.0,0.0,20.0,0.0,
2317,4.0,48.0,4.0,20.0,4.0,
2318,0.0,0.0,0.0,20.0,0.0,
2319,0.0,48.0,0.0,20.0,0.0,
2320,0.0,48.0,0.0,0.0,0.0,
2321,0.0,0.0,0.0,20.0,0.0,
2322,0.0,48.0,0.0,0.0,0.0,
2323,0.0,52.0,0.0,20.0,0.0,
2324,0.0,48.0,0.0,20.0,0.0,
2325,0.0,48.0,0.0,20.0,0.0,
2326,0.0,0.0,0.0,20.0,0.0,
2327,0.0,4.0,0.0,20.0,0.0,
2328,0.0,48.0,0.0,20.0,0.0,
2329,4.0,28.0,4.0,20.0,4.0,
2330,0.0,48.0,0.0,20.0,0.0,
2331,4.0,0.0,4.0,20.0,4.0,
2332,0.0,48.0,0.0,0.0,0.0,
2333,0.0,48.0,0.0,20.0,0.0,
2334,0.0,0.0,0.0,20.0,0.0,
2335,0.0,48.0,0.0,0.0,0.0,
2336,0.0,48.0,0.0,20.0,0.0,
2337,0.0,48.0,0.0,0.0,0.0,
2338,0.0,48.0,0.0,20.0,0.0,
2339,0.0,48.0,0.0,20.0,0.0,
2340,0.0,0.0,0.0,20.0,0.0,
2341,4.0,48.0,4.0,20.0,4.0,
2342,0.0,20.0,0.0,20.0,0.0,
2343,0.0,48.0,0.0,0.0,0.0,
2344,0.0,0.0,0.0,20.0,0.0,
2345,4.0,48.0,4.0,20.0,4.0,
2346,0.0,48.0,0.0,0.0,0.0,
2347,0.0,48.0,0.0,0.0,0.0,
2348,0.0,0.0,0.0,20.0,0.0,
2349,0.0,48.0,0.0,0.0,0.0,
2350,0.0,48.0,0.0,0.0,0.0,
2351,0.0,48.0,0.0,20.0,0.0,
2352,0.0,0.0,0.0,20.0,0.0,
2353,0.0,48.0,0.0,0.0,0.0,
2354,0.0,0.0,0.0,8.0,0.0,
2355,0.0,0.0,0.0,20.0,0.0,
2356,0.0,0.0,0.0,20.0,0.0,
2357,0.0,48.0,0.0,0.0,0.0,
2358,0.0,20.0,0.0,20.0,0.0,
2359,0.0,40.0,0.0,20.0,0.0,
2360,0.0,48.0,0.0,20.0,0.0,
2361,4.0,0.0,4.0,0.0,4.0,
2362,0.0,48.0,0.0,20.0,0.0,
2363,0.0,48.0,0.0,20.0,0.0,
2364,0.0,0.0,0.0,20.0,0.0,
2365,0.0,48.0,0.0,20.0,0.0,
2366,0.0,48.0,0.0,20.0,0.0,
2367,0.0,0.0,0.0,20.0,0.0,
2368,0.0,48.0,0.0,20.0,0.0,
2369,0.0,48.0,0.0,0.0,0.0,
2370,0.0,48.0,0.0,20.0,0.0,
2371,0.0,48.0,0.0,20.0,0.0,
2372,0.0,48.0,0.0,20.0,0.0,
2373,0.0,48.0,0.0,0.0,0.0,
2374,4.0,48.0,4.0,20.0,4.0,
2375,0.0,48.0,0.0,20.0,0.0,
2376,4.0,48.0,4.0,20.0,4.0,
2377,0.0,48.0,0.0,20.0,0.0,
2378,0.0,0.0,0.0,0.0,0.0,
2379,0.0,48.0,0.0,20.0,0.0,
2380,12.0,48.0,12.0,20.0,12.0,
2381,12.0,20.0,12.0,20.0,12.0,
2382,12.0,48.0,12.0,20.0,12.0,
2383,12.0,48.0,12.0,20.0,12.0,
2384,12.0,48.0,12.0,20.0,12.0,
2385,12.0,48.0,12.0,20.0,12.0,
2386,12.0,0.0,12.0,20.0,12.0,
2387,12.0,20.0,12.0,20.0,12.0,
2388,12.0,48.0,12.0,20.0,12.0,
2389,12.0,48.0,12.0,20.0,12.0,
2390,12.0,48.0,12.0,20.0,12.0,
2391,12.0,0.0,12.0,12.0,12.0,
2392,12.0,48.0,12.0,20.0,12.0,
2393,0.0,48.0,0.0,20.0,0.0,
2394,0.0,48.0,0.0,20.0,0.0,
2395,12.0,48.0,12.0,20.0,12.0,
2396,0.0,0.0,0.0,20.0,0.0,
2397,0.0,48.0,0.0,0.0,0.0,
2398,0.0,48.0,0.0,20.0,0.0,
2399,0.0,48.0,0.0,20.0,0.0,
2400,0.0,48.0,0.0,20.0,0.0,
2401,0.0,48.0,0.0,20.0,0.0,
2402,0.0,48.0,0.0,20.0,0.0,
2403,0.0,48.0,0.0,8.0,0.0,
2404,0.0,48.0,0.0,20.0,0.0,
2405,0.0,59.0,0.0,20.0,0.0,
2406,0.0,48.0,0.0,20.0,0.0,
2407,0.0,48.0,0.0,20.0,0.0,
2408,0.0,48.0,0.0,20.0,0.0,
2409,0.0,48.0,0.0,20.0,0.0,
2410,4.0,48.0,4.0,20.0,4.0,
2411,0.0,32.0,0.0,20.0,0.0,
2412,0.0,48.0,0.0,20.0,0.0,
2413,0.0,0.0,0.0,20.0,0.0,
2414,0.0,48.0,0.0,0.0,0.0,
2415,0.0,0.0,0.0,0.0,0.0,
2416,0.0,0.0,0.0,20.0,0.0,
2417,0.0,0.0,0.0,20.0,0.0,
2418,0.0,40.0,0.0,28.0,0.0,
2419,0.0,48.0,0.0,0.0,0.0,
2420,0.0,48.0,0.0,20.0,0.0,
2421,0.0,48.0,0.0,20.0,0.0,
2422,0.0,48.0,0.0,20.0,0.0,
2423,4.0,0.0,4.0,0.0,4.0,
2424,4.0,24.0,4.0,20.0,4.0,
2425,0.0,24.0,0.0,20.0,0.0,
2426,0.0,36.0,0.0,20.0,0.0,
2427,0.0,0.0,0.0,8.0,0.0,
2428,0.0,48.0,0.0,20.0,0.0,
2429,4.0,20.0,4.0,20.0,4.0,
2430,0.0,24.0,0.0,20.0,0.0,
2431,0.0,48.0,0.0,20.0,0.0,
2432,0.0,48.0,0.0,20.0,0.0,
2433,0.0,0.0,0.0,0.0,0.0,
2434,0.0,48.0,0.0,0.0,0.0,
2435,0.0,48.0,0.0,20.0,0.0,
2436,0.0,16.0,0.0,20.0,0.0,
2437,0.0,48.0,0.0,12.0,0.0,
2438,0.0,0.0,0.0,0.0,0.0,
2439,0.0,48.0,0.0,20.0,0.0,
2440,0.0,48.0,0.0,20.0,0.0,
2441,0.0,48.0,0.0,20.0,0.0,
2442,0.0,63.0,0.0,20.0,0.0,
2443,0.0,48.0,0.0,20.0,0.0,
2444,0.0,48.0,0.0,20.0,0.0,
2445,16.0,48.0,16.0,20.0,16.0,
2446,48.0,48.0,48.0,20.0,48.0,
2447,48.0,48.0,48.0,20.0,48.0,
2448,48.0,0.0,48.0,20.0,48.0,
2449,48.0,48.0,48.0,20.0,48.0,
2450,48.0,48.0,48.0,20.0,48.0,
2451,48.0,48.0,48.0,20.0,48.0,
2452,48.0,0.0,48.0,20.0,48.0,
2453,48.0,48.0,48.0,20.0,48.0,
2454,32.0,48.0,32.0,20.0,32.0,
2455,48.0,0.0,48.0,20.0,48.0,
2456,48.0,48.0,48.0,12.0,48.0,
2457,48.0,0.0,48.0,20.0,48.0,
2458,4.0,48.0,4.0,20.0,4.0,
2459,16.0,12.0,16.0,20.0,16.0,
2460,48.0,36.0,48.0,20.0,48.0,
2461,48.0,48.0,48.0,0.0,48.0,
2462,48.0,48.0,48.0,20.0,48.0,
2463,24.0,40.0,24.0,0.0,24.0,
2464,12.0,48.0,12.0,20.0,12.0,
2465,0.0,20.0,0.0,0.0,0.0,
2466,48.0,0.0,48.0,0.0,48.0,
2467,0.0,48.0,0.0,0.0,0.0,
2468,40.0,48.0,40.0,20.0,40.0,
2469,48.0,48.0,48.0,20.0,48.0,
2470,48.0,48.0,48.0,20.0,48.0,
2471,48.0,48.0,48.0,0.0,48.0,
2472,48.0,0.0,48.0,20.0,48.0,
2473,48.0,0.0,48.0,20.0,48.0,
2474,48.0,48.0,48.0,0.0,48.0,
2475,8.0,48.0,8.0,20.0,8.0,
2476,0.0,48.0,0.0,0.0,0.0,
2477,4.0,48.0,4.0,20.0,4.0,
2478,48.0,48.0,48.0,20.0,48.0,
2479,48.0,8.0,48.0,20.0,48.0,
2480,48.0,20.0,48.0,4.0,48.0,
2481,48.0,48.0,48.0,20.0,48.0,
2482,48.0,48.0,48.0,4.0,48.0,
2483,48.0,48.0,48.0,0.0,48.0,
2484,48.0,48.0,48.0,20.0,48.0,
2485,12.0,48.0,12.0,0.0,12.0,
2486,4.0,48.0,4.0,20.0,4.0,
2487,48.0,0.0,48.0,0.0,48.0,
2488,48.0,48.0,48.0,0.0,48.0,
2489,48.0,48.0,48.0,0.0,48.0,
2490,8.0,0.0,8.0,20.0,8.0,
2491,16.0,48.0,16.0,4.0,16.0,
2492,0.0,48.0,0.0,20.0,0.0,
2493,0.0,48.0,0.0,20.0,0.0,
2494,48.0,0.0,48.0,20.0,48.0,
2495,48.0,20.0,48.0,20.0,48.0,
2496,48.0,20.0,48.0,0.0,48.0,
2497,48.0,4.0,48.0,8.0,48.0,
2498,48.0,0.0,48.0,20.0,48.0,
2499,28.0,20.0,28.0,20.0,28.0,
2500,48.0,20.0,48.0,20.0,48.0,
2501,48.0,20.0,48.0,0.0,48.0,
2502,48.0,20.0,48.0,20.0,48.0,
2503,48.0,0.0,48.0,20.0,48.0,
2504,0.0,20.0,0.0,20.0,0.0,
2505,48.0,0.0,48.0,20.0,48.0,
2506,48.0,20.0,48.0,20.0,48.0,
2507,48.0,20.0,48.0,0.0,48.0,
2508,4.0,20.0,4.0,20.0,4.0,
2509,48.0,20.0,48.0,0.0,48.0,
2510,48.0,20.0,48.0,0.0,48.0,
2511,48.0,20.0,48.0,8.0,48.0,
2512,48.0,20.0,48.0,20.0,48.0,
2513,48.0,20.0,48.0,20.0,48.0,
2514,0.0,20.0,0.0,20.0,0.0,
2515,48.0,0.0,48.0,20.0,48.0,
2516,48.0,20.0,48.0,20.0,48.0,
2517,36.0,20.0,36.0,0.0,36.0,
2518,48.0,0.0,48.0,20.0,48.0,
2519,48.0,20.0,48.0,20.0,48.0,
2520,48.0,0.0,48.0,20.0,48.0,
2521,0.0,20.0,0.0,20.0,0.0,
2522,0.0,20.0,0.0,12.0,0.0,
2523,48.0,20.0,48.0,20.0,48.0,
2524,48.0,20.0,48.0,0.0,48.0,
2525,48.0,20.0,48.0,20.0,48.0,
2526,0.0,0.0,0.0,20.0,0.0,
2527,0.0,20.0,0.0,20.0,0.0,
2528,48.0,20.0,48.0,16.0,48.0,
2529,48.0,0.0,48.0,0.0,48.0,
2530,48.0,0.0,48.0,20.0,48.0,
2531,48.0,20.0,48.0,0.0,48.0,
2532,48.0,0.0,48.0,20.0,48.0,
2533,48.0,0.0,48.0,20.0,48.0,
2534,48.0,20.0,48.0,20.0,48.0,
2535,16.0,20.0,16.0,0.0,16.0,
2536,40.0,0.0,40.0,20.0,40.0,
2537,48.0,8.0,48.0,20.0,48.0,
2538,48.0,20.0,48.0,20.0,48.0,
2539,48.0,20.0,48.0,20.0,48.0,
2540,48.0,0.0,48.0,20.0,48.0,
2541,48.0,20.0,48.0,20.0,48.0,
2542,0.0,20.0,0.0,20.0,0.0,
2543,48.0,20.0,48.0,20.0,48.0,
2544,48.0,0.0,48.0,20.0,48.0,
2545,40.0,20.0,40.0,20.0,40.0,
2546,0.0,20.0,0.0,20.0,0.0,
2547,0.0,20.0,0.0,20.0,0.0,
2548,48.0,20.0,48.0,20.0,48.0,
2549,48.0,20.0,48.0,20.0,48.0,
2550,48.0,20.0,48.0,20.0,48.0,
2551,48.0,20.0,48.0,20.0,48.0,
2552,48.0,0.0,48.0,0.0,48.0,
2553,40.0,20.0,40.0,0.0,40.0,
2554,48.0,20.0,48.0,4.0,48.0,
2555,0.0,20.0,0.0,4.0,0.0,
2556,48.0,0.0,48.0,4.0,48.0,
2557,48.0,20.0,48.0,4.0,48.0,
2558,0.0,20.0,0.0,0.0,0.0,
2559,48.0,20.0,48.0,0.0,48.0,
2560,0.0,20.0,0.0,4.0,0.0,
2561,48.0,0.0,48.0,4.0,48.0,
2562,48.0,20.0,48.0,0.0,48.0,
2563,48.0,20.0,48.0,4.0,48.0,
2564,48.0,20.0,48.0,4.0,48.0,
2565,48.0,20.0,48.0,4.0,48.0,
2566,48.0,20.0,48.0,4.0,48.0,
2567,0.0,20.0,0.0,4.0,0.0,
2568,48.0,20.0,48.0,0.0,48.0,
2569,48.0,20.0,48.0,4.0,48.0,
2570,48.0,20.0,48.0,0.0,48.0,
2571,48.0,20.0,48.0,4.0,48.0,
2572,48.0,20.0,48.0,0.0,48.0,
2573,28.0,20.0,28.0,4.0,28.0,
2574,32.0,12.0,32.0,0.0,32.0,
2575,48.0,20.0,48.0,4.0,48.0,
2576,0.0,20.0,0.0,39.0,0.0,
